"filename", "language", "PHP", "SQL", "HTML", "Markdown", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_profession_info.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 8, 20
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_professions.php", "PHP", 17, 0, 0, 0, 0, 0, 1, 6, 24
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_ratings.php", "PHP", 15, 0, 0, 0, 0, 0, 1, 11, 27
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_resuslt_test.php", "PHP", 15, 0, 0, 0, 0, 0, 2, 12, 29
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_test_name.php", "PHP", 15, 0, 0, 0, 0, 0, 1, 12, 28
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_test_result.php", "PHP", 15, 0, 0, 0, 0, 0, 1, 12, 28
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_test_result_user.php", "PHP", 16, 0, 0, 0, 0, 0, 1, 11, 28
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_tests.php", "PHP", 17, 0, 0, 0, 0, 0, 1, 6, 24
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_users.php", "PHP", 17, 0, 0, 0, 0, 0, 1, 6, 24
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/insert_prof.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 7, 22
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/login.php", "PHP", 27, 0, 0, 0, 0, 0, 6, 7, 40
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/logout.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/no_prof.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/rate.php", "PHP", 21, 0, 0, 0, 0, 0, 23, 14, 58
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/register.php", "PHP", 38, 0, 0, 0, 0, 0, 17, 13, 68
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/save_result.php", "PHP", 16, 0, 0, 0, 0, 0, 11, 15, 42
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/contacts.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/css/hard-circle.css", "CSS", 0, 0, 0, 0, 481, 0, 11, 76, 568
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/css/main.css", "CSS", 0, 0, 0, 0, 946, 0, 27, 148, 1121
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/css/reset.css", "CSS", 0, 0, 0, 0, 72, 0, 9, 22, 103
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/css/simple-circle.css", "CSS", 0, 0, 0, 0, 352, 0, 8, 57, 417
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/db/db.sql", "SQL", 0, 290, 0, 0, 0, 0, 76, 40, 406
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/error.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/expert.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 1, 67
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/expert_prof.php", "PHP", 113, 0, 0, 0, 0, 0, 0, 4, 117
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/index.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Admin-Lab1-home.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 2, 13
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Admin-Lab1-prof.js", "JavaScript", 0, 0, 0, 0, 0, 24, 38, 2, 64
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Admin-chartF.js", "JavaScript", 0, 0, 0, 0, 0, 108, 125, 30, 263
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Admin-chartM.js", "JavaScript", 0, 0, 0, 0, 0, 219, 21, 29, 269
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab1-expert-chose.js", "JavaScript", 0, 0, 0, 0, 0, 11, 1, 2, 14
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab1-expert.js", "JavaScript", 0, 0, 0, 0, 0, 37, 2, 7, 46
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab1-expertcheckbox.js", "JavaScript", 0, 0, 0, 0, 0, 54, 13, 23, 90
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab1-home.js", "JavaScript", 0, 0, 0, 0, 0, 11, 1, 3, 15
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab1-profession-category.js", "JavaScript", 0, 0, 0, 0, 0, 38, 1, 10, 49
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab1-profession-page.js", "JavaScript", 0, 0, 0, 0, 0, 74, 0, 4, 78
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab2-color-test.js", "JavaScript", 0, 0, 0, 0, 0, 155, 8, 12, 175
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab2-hard-sound.js", "JavaScript", 0, 0, 0, 0, 0, 169, 11, 15, 195
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab2-reaction-to-light.js", "JavaScript", 0, 0, 0, 0, 0, 161, 9, 13, 183
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab2-simple-sound.js", "JavaScript", 0, 0, 0, 0, 0, 155, 8, 13, 176
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab2-visual-test.js", "JavaScript", 0, 0, 0, 0, 0, 126, 8, 13, 147
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab3-hard-circle.js", "JavaScript", 0, 0, 0, 0, 0, 358, 44, 48, 450
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/Lab3-simple-circle.js", "JavaScript", 0, 0, 0, 0, 0, 171, 19, 25, 215
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/admin-get-name.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 2, 16
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/admin-tests.js", "JavaScript", 0, 0, 0, 0, 0, 18, 0, 4, 22
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/admin-users-result.js", "JavaScript", 0, 0, 0, 0, 0, 14, 2, 4, 20
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/app.js", "JavaScript", 0, 0, 0, 0, 0, 9, 1, 3, 13
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/lab2-admin-chart.js", "JavaScript", 0, 0, 0, 0, 0, 11, 1, 3, 15
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/lab2-contacts.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 3, 16
